TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused,Unused,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
175235999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,46.0,0.0,0.0
175236999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,44.0,0.0,0.0
175237999.0,1.0,nan,-268.59616,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.0,0.0,0.0
175238999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,47.0,0.0,0.0
175239999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175240999.0,4.0,nan,nan,nan,nan,1.24188288,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,0.0,0.0
175241999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50.0,0.0,0.0
175242999.0,6.0,nan,nan,nan,nan,nan,nan,0.37762928,nan,nan,nan,nan,nan,nan,nan,nan,nan,47.0,0.0,0.0
175243999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,44.0,0.0,0.0
175244999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82572,nan,nan,nan,nan,nan,nan,nan,51.0,0.0,0.0
175246602.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3984.0,nan,nan,nan,nan,nan,0.0,10240.0,0.0
175246999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,39.0,0.0,0.0
175247999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,30.0,0.0,0.0
175248999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.0,0.0,0.0
175249999.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,0.0,0.0
175250999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,0.0,0.0
175251999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0,0.0,0.0
175252999.0,4.0,nan,nan,nan,nan,1.24078192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.0,0.0,0.0
175253999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,44.0,0.0,0.0
175254999.0,6.0,nan,nan,nan,nan,nan,nan,0.37542736,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.0,0.0,0.0
175255999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175256999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.8301238400000001,nan,nan,nan,nan,nan,nan,nan,31.0,0.0,0.0
175257999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,41.0,0.0,0.0
175258999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,40.0,0.0,0.0
175259999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,44.0,0.0,0.0
175260999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,0.0,0.0
175261999.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.0,0.0,0.0
175262999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.0,0.0,0.0
175263999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.0,0.0,0.0
175264999.0,4.0,nan,nan,nan,nan,1.23197424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175265999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.0,0.0,0.0
175266999.0,6.0,nan,nan,nan,nan,nan,nan,0.37542736,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.0,0.0,0.0
175267999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,49.0,0.0,0.0
175268999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82461904,nan,nan,nan,nan,nan,nan,nan,46.0,0.0,0.0
175269999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,28.0,0.0,0.0
175270999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,27.0,0.0,0.0
175271999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,33.0,0.0,0.0
175272999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.0,0.0,0.0
175273999.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.0,0.0,0.0
175274999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,0.0,0.0
175275999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,0.0,0.0
175276999.0,4.0,nan,nan,nan,nan,1.25399344,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.0,0.0,0.0
175277999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0,0.0,0.0
175278999.0,6.0,nan,nan,nan,nan,nan,nan,0.37762928,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.0,0.0,0.0
175279999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,27.0,0.0,0.0
175280999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82572,nan,nan,nan,nan,nan,nan,nan,45.0,0.0,0.0
175281999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,43.0,0.0,0.0
175282999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,38.0,0.0,0.0
175283999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,29.0,0.0,0.0
175284999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,0.0,0.0
175285999.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,0.0,0.0
175286999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.0,0.0,0.0
175287999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175288999.0,4.0,nan,nan,nan,nan,1.22426752,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
175289999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.0,0.0,0.0
175290999.0,6.0,nan,nan,nan,nan,nan,nan,0.37652832,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175291999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175292999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82792192,nan,nan,nan,nan,nan,nan,nan,44.0,0.0,0.0
175293999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175294999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,40.0,0.0,0.0
175295999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,40.0,0.0,0.0
175296999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
175297999.0,1.0,nan,-268.59616,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,0.0,0.0
175298999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,0.0,0.0
175299999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.0,0.0,0.0
175300999.0,4.0,nan,nan,nan,nan,1.23197424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
175301999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175302999.0,6.0,nan,nan,nan,nan,nan,nan,0.37652832,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.0,0.0,0.0
175303999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,30.0,0.0,0.0
175304999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82792192,nan,nan,nan,nan,nan,nan,nan,39.0,0.0,0.0
175305999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,41.0,0.0,0.0
175306999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,34.0,0.0,0.0
175307999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,36.0,0.0,0.0
175308999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175309999.0,1.0,nan,-268.59616,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,0.0,0.0
175310999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,0.0,0.0
175311999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.0,0.0,0.0
175312999.0,4.0,nan,nan,nan,nan,1.23747904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.0,0.0,0.0
175313999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.0,0.0,0.0
175314999.0,6.0,nan,nan,nan,nan,nan,nan,0.37762928,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,0.0,0.0
175315999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,35.0,0.0,0.0
175316999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82682096,nan,nan,nan,nan,nan,nan,nan,43.0,0.0,0.0
175317999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,34.0,0.0,0.0
175318999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,42.0,0.0,0.0
175319999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,32.0,0.0,0.0
175320999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175321999.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,0.0,0.0
175322999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.0,0.0,0.0
175323999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.0,0.0,0.0
175324999.0,4.0,nan,nan,nan,nan,1.2330752,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
175325999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,0.0,0.0
175326999.0,6.0,nan,nan,nan,nan,nan,nan,0.37762928,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175327999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175328999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82792192,nan,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175329999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,40.0,0.0,0.0
175330999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,51.0,0.0,0.0
175331999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,31.0,0.0,0.0
175332999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,0.0,0.0
175333999.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.0,0.0,0.0
175334999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.0,0.0,0.0
175335999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0,0.0,0.0
175336999.0,4.0,nan,nan,nan,nan,1.23197424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,0.0,0.0
175337999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.0,0.0,0.0
175338999.0,6.0,nan,nan,nan,nan,nan,nan,0.37652832,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175339999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
175340999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82461904,nan,nan,nan,nan,nan,nan,nan,46.0,0.0,0.0
175341999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175342999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,31.0,0.0,0.0
175343999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,33.0,0.0,0.0
175344999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0,0.0,0.0
175345999.0,1.0,nan,-268.375968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,0.0,0.0
175346999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.0,0.0,0.0
175347999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,0.0,0.0
175348999.0,4.0,nan,nan,nan,nan,1.23637808,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,0.0,0.0
175349999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.0,0.0,0.0
175350999.0,6.0,nan,nan,nan,nan,nan,nan,0.37652832,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.0,0.0,0.0
175351999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,34.0,0.0,0.0
175352999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82572,nan,nan,nan,nan,nan,nan,nan,34.0,0.0,0.0
175353999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,41.0,0.0,0.0
175354999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,37.0,0.0,0.0
175355999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,47.0,0.0,0.0
175356999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,49.0,0.0,0.0
175357999.0,1.0,nan,-268.375968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175358999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.0,0.0,0.0
175359999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.0,0.0,0.0
175360999.0,4.0,nan,nan,nan,nan,1.24848864,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,0.0,0.0
175361999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48.0,0.0,0.0
175362999.0,6.0,nan,nan,nan,nan,nan,nan,0.37762928,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,0.0,0.0
175363999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,44.0,0.0,0.0
175364999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82572,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175365999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175366999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,39.0,0.0,0.0
175367999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,53.0,0.0,0.0
175368999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,0.0,0.0
175369999.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175370999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,0.0,0.0
175371999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.0,0.0,0.0
175372999.0,4.0,nan,nan,nan,nan,1.25289248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.0,0.0,0.0
175373999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,0.0,0.0
175374999.0,6.0,nan,nan,nan,nan,nan,nan,0.37762928,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.0,0.0,0.0
175375999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175377674.0,6.0,nan,nan,nan,nan,nan,nan,2.11604512,nan,nan,nan,nan,nan,nan,nan,nan,nan,60672.0,8192.0,0.0
175377999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,43.0,0.0,0.0
175378999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,34.0,0.0,0.0
175379999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,39.0,0.0,0.0
175380999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.0,0.0,0.0
175381999.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0,0.0,0.0
175382999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.0,0.0,0.0
175383999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.0,0.0,0.0
175384999.0,4.0,nan,nan,nan,nan,1.24518576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50.0,0.0,0.0
175385999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.0,0.0,0.0
175386999.0,6.0,nan,nan,nan,nan,nan,nan,0.37652832,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,0.0,0.0
175387999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,38.0,0.0,0.0
